Tip;calificativ;Denumirea străzii;Numerele caselor;Codul  poştal
Bulevardul;;Cuza-Vodă; 1-21, 18/2, 6-46;MD-2060
Bulevardul;;Cuza-Vodă; 23-sf.;MD-2072
Bulevardul;;Dacia;1-21;MD-2038
Bulevardul;;Dacia;2-24;MD-2043
Bulevardul;;Dacia;23-41, 26-38/1,38/2,38/3, 38/4, 38/9 ;MD-2060
Bulevardul;;Dacia;47-57, 38/5, 38/6, 38/7,38/8- 58, 49-49/14.;MD-2062
Bulevardul;;Dacia;50/7;MD-2072
Bulevardul;;Dacia;60/1-60/5, 80/8,  67-83;MD-2026
Bulevardul;;Decebal;139;MD-2060
Bulevardul;;Decebal;1-5, 2;MD-2001
Bulevardul;;Decebal;17-25;MD-2002
Bulevardul;;Decebal;59-91/2,;MD-2015
Bulevardul;;Decebal;6, 16, 22, 64-84, 99;MD-2038
Bulevardul;;Iurie Gagarin;toate;MD-2001
Bulevardul;;Moscova;18-sf;MD-2045
Bulevardul;;Moscova;1-sf, 2-16;MD-2068
Bulevardul;;Renaşterii Naţionale;2-20,  5-27;MD-2024
Bulevardul;;Ştefan cel Mare şi Sfînt;105, 154;MD-2073
Bulevardul;;Ştefan cel Mareşi Sfînt;115-sf,150-sf (ex. 154);MD-2004
Bulevardul;;Ştefan cel Mare şi Sfînt;1-73, 2-124;MD-2001
Bulevardul;;Ştefan cel Mare şi Sfînt;75-103, 126-152;MD-2012
Bulevardul;;Grigore Vieru;toate;MD-2005
Piaţa;;Victor Belikov;toate;MD-2026
Piaţa;;Dimitrie Cantemir;toate;MD-2069
Piaţa;;Iulius Cezar;toate;MD-2001
Piaţa;;Gării;toate;MD-2001
Piaţa;;Pantelimon Halippa;toate;MD-2009
Piaţa;;Marea Adunare Naţională;toate;MD-2033
Piaţa;;Unirii Principatelor;toate;MD-2064
Piaţa;;Veche;toate;MD-2005
Scuarul;fondator al Francofoniei;Leopold Sedar Senghor;toate;MD-2012
Scuarul;;Catedralei;;MD-2012
Șoseaua;;Balcani;1-3, 20;MD-2069
Șoseaua;;Balcani;2-8/1, 25;MD-2071
Șoseaua;;Balcani;7-9;MD-2049
Șoseaua;;Hînceşti; 82/1, 84;MD-2021
Șoseaua;;Hînceşti;3-61, 2-82;MD-2028
Șoseaua;;Hînceşti;86, 106-sf, 145-sf;MD-2070
Strada;;Anton Ablov;toate;MD-2019
Strada;;Academiei;toate;MD-2028
